device_id,imei_hash,sim_slot_count,accounts_per_device,ip_geolocation,is_emulator_or_rooted,first_seen,last_seen
DEV000001,IMEI417364470945,1,1,Karnataka,0,2023-03-21,2024-02-26
DEV000002,IMEI289025726845,1,1,West Bengal,1,2023-02-26,2024-04-07
DEV000003,IMEI397253171691,1,1,Gujarat,0,2023-06-20,2024-03-22
DEV000004,IMEI920887064505,1,1,Telangana,0,2023-07-17,2024-06-06
DEV000005,IMEI98885573417,1,2,Tamil Nadu,0,2023-06-30,2024-02-22
DEV000006,IMEI333927166284,1,1,Uttar Pradesh,1,2023-05-29,2024-04-12
DEV000007,IMEI939348435007,1,1,Maharashtra,1,2023-09-01,2024-05-13
DEV000008,IMEI288057484448,1,1,Rajasthan,0,2023-10-03,2024-01-15
DEV000009,IMEI504061303718,1,1,Telangana,0,2023-10-03,2024-09-12
DEV000010,IMEI913457376925,1,1,Gujarat,0,2023-08-14,2024-01-04
DEV000011,IMEI344629419326,1,1,Maharashtra,0,2023-01-19,2024-07-25
DEV000012,IMEI199879704838,1,1,West Bengal,0,2023-02-07,2024-09-13
DEV000013,IMEI3478219633,1,1,Andhra Pradesh,0,2023-05-20,2024-04-25
DEV000014,IMEI456489411876,1,1,Uttar Pradesh,0,2023-05-31,2024-06-22
DEV000015,IMEI890331996277,1,1,Uttar Pradesh,0,2023-02-14,2024-09-08
DEV000016,IMEI729522118329,1,1,Uttar Pradesh,0,2023-10-21,2024-03-31
DEV000017,IMEI550420879104,1,1,Karnataka,0,2023-10-19,2024-07-29
DEV000018,IMEI472636803647,1,1,Delhi,1,2023-08-16,2024-03-09
DEV000019,IMEI970959372540,1,1,Tamil Nadu,0,2023-10-17,2024-02-02
DEV000020,IMEI148380481866,1,1,Karnataka,0,2023-10-08,2024-09-25
DEV000021,IMEI369754402352,1,1,Telangana,0,2023-05-31,2024-05-12
DEV000022,IMEI498804147189,1,1,Maharashtra,0,2023-04-10,2024-08-14
DEV000023,IMEI769533142766,1,1,Karnataka,0,2023-07-16,2024-07-13
DEV000024,IMEI467692206771,1,1,Karnataka,0,2023-03-18,2024-08-24
DEV000025,IMEI659287191979,1,1,Tamil Nadu,0,2023-08-27,2024-03-15
DEV000026,IMEI543590062854,1,1,Andhra Pradesh,0,2023-07-19,2024-05-28
DEV000027,IMEI240452012386,1,1,Uttar Pradesh,0,2023-01-11,2024-10-23
DEV000028,IMEI552477605904,1,1,Delhi,0,2023-04-19,2024-03-16
DEV000029,IMEI36863359602,1,1,Telangana,0,2023-03-24,2024-04-30
DEV000030,IMEI236162969610,1,1,Maharashtra,0,2023-06-07,2024-03-13
DEV000031,IMEI407942192871,1,1,Telangana,0,2023-09-16,2024-02-24
DEV000032,IMEI203899513688,1,1,Uttar Pradesh,0,2023-04-22,2024-03-14
DEV000033,IMEI511306495977,1,1,Maharashtra,0,2023-03-22,2024-05-11
DEV000034,IMEI980007489903,1,1,West Bengal,0,2023-02-15,2024-02-25
DEV000035,IMEI139048468657,1,1,West Bengal,0,2023-09-18,2024-04-22
DEV000036,IMEI50001129320,1,1,Karnataka,1,2023-06-24,2024-03-13
DEV000037,IMEI801647234094,1,1,Maharashtra,0,2023-07-19,2024-06-21
DEV000038,IMEI835527082306,1,1,Gujarat,0,2023-07-15,2024-03-24
DEV000039,IMEI208489326183,1,1,Tamil Nadu,0,2023-09-28,2024-06-05
DEV000040,IMEI435189561039,1,1,Maharashtra,0,2023-01-17,2024-09-28
DEV000041,IMEI651864800520,2,2,Delhi,1,2023-05-26,2024-09-06
DEV000042,IMEI306432523766,1,1,Maharashtra,0,2023-06-02,2024-05-31
DEV000043,IMEI280285646044,1,1,Uttar Pradesh,0,2023-08-05,2024-06-24
DEV000044,IMEI142468251430,1,1,Telangana,0,2023-07-01,2024-10-19
DEV000045,IMEI61738807713,1,1,Karnataka,0,2023-04-18,2024-02-01
DEV000046,IMEI746281834593,1,1,Delhi,1,2023-09-26,2024-06-21
DEV000047,IMEI67609944504,1,1,Delhi,0,2023-10-14,2024-10-13
DEV000048,IMEI770948473557,1,1,Uttar Pradesh,0,2023-08-13,2024-03-02
DEV000049,IMEI194297424039,1,1,West Bengal,0,2023-04-20,2024-09-24
DEV000050,IMEI555881182280,1,1,Andhra Pradesh,0,2023-02-28,2024-02-25
DEV000051,IMEI701268257165,1,1,West Bengal,0,2023-09-29,2024-05-29
DEV000052,IMEI490048655000,1,1,Rajasthan,1,2023-03-29,2024-04-10
DEV000053,IMEI834611561576,1,1,Telangana,0,2023-04-27,2024-08-07
DEV000054,IMEI711727342902,1,9,Karnataka,0,2023-01-19,2024-09-18
DEV000055,IMEI642248395857,1,1,Maharashtra,0,2023-02-26,2024-07-08
DEV000056,IMEI537464288931,1,1,Maharashtra,1,2023-03-02,2024-04-17
DEV000057,IMEI277399762328,1,1,Karnataka,1,2023-02-23,2024-07-20
DEV000058,IMEI487857994316,1,1,Karnataka,0,2023-08-15,2024-03-28
DEV000059,IMEI122677551976,1,1,Karnataka,0,2023-06-19,2024-01-24
DEV000060,IMEI91056466113,1,1,Andhra Pradesh,0,2023-08-28,2024-04-25
DEV000061,IMEI327892846875,1,1,Karnataka,0,2023-04-11,2024-02-07
DEV000062,IMEI241345548551,1,1,Delhi,0,2023-09-25,2024-04-06
DEV000063,IMEI457827755918,1,1,Maharashtra,0,2023-08-11,2024-06-14
DEV000064,IMEI878057417600,1,1,Andhra Pradesh,0,2023-02-18,2024-06-25
DEV000065,IMEI789842062732,1,1,Maharashtra,0,2023-08-05,2024-03-15
DEV000066,IMEI852543839378,1,1,West Bengal,0,2023-04-17,2024-09-27
DEV000067,IMEI421364413542,1,1,Andhra Pradesh,0,2023-09-13,2024-01-26
DEV000068,IMEI977369267251,1,1,Uttar Pradesh,0,2023-01-04,2024-04-19
DEV000069,IMEI748502890458,1,1,Maharashtra,0,2023-04-15,2024-08-10
DEV000070,IMEI981927703482,1,1,Andhra Pradesh,0,2023-10-18,2024-03-21
DEV000071,IMEI237942615244,1,1,Gujarat,0,2023-03-25,2024-05-16
DEV000072,IMEI616657257714,1,1,Gujarat,0,2023-10-21,2024-06-08
DEV000073,IMEI742184359324,1,1,Andhra Pradesh,0,2023-08-18,2024-03-18
DEV000074,IMEI575059924819,1,1,Maharashtra,0,2023-10-04,2024-07-14
DEV000075,IMEI257835509138,1,1,Karnataka,0,2023-07-07,2024-01-02
DEV000076,IMEI36157217427,1,1,Maharashtra,1,2023-09-23,2024-10-05
DEV000077,IMEI630005068449,1,1,Rajasthan,1,2023-07-09,2024-05-06
DEV000078,IMEI870270911291,1,1,Telangana,0,2023-07-09,2024-05-17
DEV000079,IMEI553456550982,1,1,Karnataka,0,2023-07-07,2024-03-28
DEV000080,IMEI584330217966,1,1,Maharashtra,0,2023-07-05,2024-07-05
